On Demand Downloads Download Date,On Demand Downloads Total Downloads
2020-01-02,239664
2020-01-01,235429
2019-12-31,266170
2019-12-30,379568
2019-12-29,413439
2019-12-28,749324
2019-12-27,190071
2019-12-26,186074
2019-12-25,138521
2019-12-24,168719
2019-12-23,211763
2019-12-22,208075
2019-12-21,218430
2019-12-20,270408
2019-12-19,417336
2019-12-18,790225
2019-12-17,204803
2019-12-16,238806
2019-12-15,224490
2019-12-14,264231
2019-12-13,461309
2019-12-12,393969
2019-12-11,148018
2019-12-10,159654
2019-12-09,170180
2019-12-08,144763
2019-12-07,133144
2019-12-06,159804
2019-12-05,181638
2019-12-04,196727
2019-12-03,222062
2019-12-02,259659
2019-12-01,241988
2019-11-30,224183
2019-11-29,243016
2019-11-28,325825
2019-11-27,731921
2019-11-26,162256
2019-11-25,172868
2019-11-24,158775
2019-11-23,151007
2019-11-22,178357
2019-11-21,213155
2019-11-20,347873
2019-11-19,281914
2019-11-18,155608
2019-11-17,150431
2019-11-16,132911
2019-11-15,145794
2019-11-14,162064
2019-11-13,175894
2019-11-12,199734
2019-11-11,228862
2019-11-10,228308
2019-11-09,248452
2019-11-08,621851
2019-11-07,342757
2019-11-06,174860
2019-11-05,183896
2019-11-04,201874
2019-11-03,197696
2019-11-02,177039
2019-11-01,212774
2019-10-31,284390
2019-10-30,697486
2019-10-29,324668
2019-10-28,196288
2019-10-27,181938
2019-10-26,177923
2019-10-25,232838
2019-10-24,334186
2019-10-23,867177
2019-10-22,196626
2019-10-21,211884
2019-10-20,199295
2019-10-19,181971
2019-10-18,240251
2019-10-17,329710
2019-10-16,746556
2019-10-15,355771
2019-10-14,150914
2019-10-13,136546
2019-10-12,124512
2019-10-11,143014
2019-10-10,153984
2019-10-09,161390
2019-10-08,165877
2019-10-07,173350
2019-10-06,159379
2019-10-05,143204
2019-10-04,166689
2019-10-03,182789
2019-10-02,196990
2019-10-01,224210
2019-09-30,261941
2019-09-29,267838
2019-09-28,319801
2019-09-27,890534
2019-09-26,170182
2019-09-25,186535
2019-09-24,194990
2019-09-23,213863
2019-09-22,205970
2019-09-21,201132
2019-09-20,252187
2019-09-19,327292
2019-09-18,776679
2019-09-17,381701
2019-09-16,166167
2019-09-15,151775
2019-09-14,135362
2019-09-13,158939
2019-09-12,174889
2019-09-11,193227
2019-09-10,205875
2019-09-09,237927
2019-09-08,229943
2019-09-07,246698
2019-09-06,531956
2019-09-05,469523
2019-09-04,183627
2019-09-03,197288
2019-09-02,198025
2019-09-01,176455
2019-08-31,187401
2019-08-30,247629
2019-08-29,347671
2019-08-28,904337
2019-08-27,222836
2019-08-26,271903
2019-08-25,277994
2019-08-24,362719
2019-08-23,787527
2019-08-22,151402
2019-08-21,162833
2019-08-20,168438
2019-08-19,176333
2019-08-18,165815
2019-08-17,144974
2019-08-16,168503
2019-08-15,184636
2019-08-14,202499
2019-08-13,226694
2019-08-12,257415
2019-08-11,256627
2019-08-10,293214
2019-08-09,731830
2019-08-08,369818
2019-08-07,187387
2019-08-06,197652
2019-08-05,208386
2019-08-04,196503
2019-08-03,187347
2019-08-02,226134
2019-08-01,305085
2019-07-31,376553
2019-07-30,943086
2019-07-29,270859
2019-07-28,262999
2019-07-27,293686
2019-07-26,790589
2019-07-25,322214
2019-07-24,184031
2019-07-23,197770
2019-07-22,209560
2019-07-21,203874
2019-07-20,196370
2019-07-19,272693
2019-07-18,464569
2019-07-17,794189
2019-07-16,151662
2019-07-15,155330
2019-07-14,140028
2019-07-13,124438
2019-07-12,149978
2019-07-11,162618
2019-07-10,168763
2019-07-09,176205
2019-07-08,185751
2019-07-07,176005
2019-07-06,147567
2019-07-05,160511
2019-07-04,161497
2019-07-03,219873
2019-07-02,255935
2019-07-01,331150
2019-06-30,347541
2019-06-29,595181
2019-06-28,416110
2019-06-27,151215
2019-06-26,163067
2019-06-25,168040
2019-06-24,179470
2019-06-23,160969
2019-06-22,141417
2019-06-21,168722
2019-06-20,191138
2019-06-19,213117
2019-06-18,236673
2019-06-17,272457
2019-06-16,265262
2019-06-15,315896
2019-06-14,900310
2019-06-13,202337
2019-06-12,223888
2019-06-11,250142
2019-06-10,299352
2019-06-09,305244
2019-06-08,402864
2019-06-07,841060
2019-06-06,275775
2019-06-05,541126
2019-06-04,474347
2019-06-03,175952
2019-06-02,162672
2019-06-01,142279
2019-05-31,171052
2019-05-30,194887
2019-05-29,225258
2019-05-28,288178
2019-05-27,295356
2019-05-26,315448
2019-05-25,604179
2019-05-24,448180
2019-05-23,150439
2019-05-22,159890
2019-05-21,162857
2019-05-20,168833
2019-05-19,154977
2019-05-18,142706
2019-05-17,163038
2019-05-16,177333
2019-05-15,190671
2019-05-14,202033
2019-05-13,222364
2019-05-12,209954
2019-05-11,212876
2019-05-10,286113
2019-05-09,536023
2019-05-08,753795
2019-05-07,247064
2019-05-06,294091
2019-05-05,278656
2019-05-04,326545
2019-05-03,824165
2019-05-02,338332
2019-05-01,163422
2019-04-30,174737
2019-04-29,201263
2019-04-28,201507
2019-04-27,215934
2019-04-26,445779
2019-04-25,318575
2019-04-24,186240
2019-04-23,218629
2019-04-22,259165
2019-04-21,265526
2019-04-20,393712
2019-04-19,757228
2019-04-18,131794
2019-04-17,137567
2019-04-16,139404
2019-04-15,141102
2019-04-14,132224
2019-04-13,117521
2019-04-12,134088
2019-04-11,144773
2019-04-10,152622
2019-04-09,150740
2019-04-08,157738
2019-04-07,149726
2019-04-06,134544
2019-04-05,157471
2019-04-04,174258
2019-04-03,187750
2019-04-02,211325
2019-04-01,254876
2019-03-31,273446
2019-03-30,362561
2019-03-29,736388
2019-03-28,163514
2019-03-27,182952
2019-03-26,202396
2019-03-25,229197
2019-03-24,233063
2019-03-23,257210
2019-03-22,576752
2019-03-21,490544
2019-03-20,150833
2019-03-19,153992
2019-03-18,162547
2019-03-17,155834
2019-03-16,137505
2019-03-15,156085
2019-03-14,179168
2019-03-13,193538
2019-03-12,212127
2019-03-11,251707
2019-03-10,249278
2019-03-09,296696
2019-03-08,811119
2019-03-07,250800
2019-03-06,193359
2019-03-05,209747
2019-03-04,242310
2019-03-03,256134
2019-03-02,289506
2019-03-01,783781
2019-02-28,268711
2019-02-27,178153
2019-02-26,204732
2019-02-25,236379
2019-02-24,243851
2019-02-23,271707
2019-02-22,677231
2019-02-21,372758
2019-02-20,144242
2019-02-19,150972
2019-02-18,160203
2019-02-17,150747
2019-02-16,137127
2019-02-15,150908
2019-02-14,163957
2019-02-13,181005
2019-02-12,201093
2019-02-11,242706
2019-02-10,258185
2019-02-09,309489
2019-02-08,877075
2019-02-07,141539
2019-02-06,143463
2019-02-05,146884
2019-02-04,154008
2019-02-03,141986
2019-02-02,132115
2019-02-01,149666
2019-01-31,143940
2019-01-30,172141
2019-01-29,183535
2019-01-28,202906
2019-01-27,201941
2019-01-26,192060
2019-01-25,226159
2019-01-24,332425
2019-01-23,886818
2019-01-22,181198
2019-01-21,195654
2019-01-20,185193
2019-01-19,184341
2019-01-18,233974
2019-01-17,363335
2019-01-16,928004
2019-01-15,141751
2019-01-14,150382
2019-01-13,136443
2019-01-12,121693
2019-01-11,141683
2019-01-10,158666
2019-01-09,170905
2019-01-08,178433
2019-01-07,194052
2019-01-06,178030
2019-01-05,168802
2019-01-04,204945
2019-01-03,235687
2019-01-02,277397
2019-01-01,223668
2018-12-31,266651
2018-12-30,345868
2018-12-29,606730
2018-12-28,875220
2018-12-27,480630
2018-12-26,195183
2018-12-25,160639
2018-12-24,182516
2018-12-23,239602
2018-12-22,362299
2018-12-21,800720
2018-12-20,125151
2018-12-19,132302
2018-12-18,132140
2018-12-17,136056
2018-12-16,125236
2018-12-15,110992
2018-12-14,121808
2018-12-13,129701
2018-12-12,133080
2018-12-11,140083
2018-12-10,144964
2018-12-09,132661
2018-12-08,125250
2018-12-07,138396
2018-12-06,162023
2018-12-05,170685
2018-12-04,180019
2018-12-03,183235
2018-12-02,176312
2018-12-01,171027
2018-11-30,213914
2018-11-29,296904
2018-11-28,666450
2018-11-27,483468
2018-11-26,326794
2018-11-25,289201
2018-11-24,246346
2018-11-23,312430
2018-11-22,754359
2018-11-21,160072
2018-11-20,160056
2018-11-19,162813
2018-11-18,156068
2018-11-17,141336
2018-11-16,160379
2018-11-15,176042
2018-11-14,188741
2018-11-13,198739
2018-11-12,205561
2018-11-11,191687
2018-11-10,178900
2018-11-09,190086
2018-11-08,236729
2018-11-07,287594
2018-11-06,375477
2018-11-05,937874
2018-11-04,236816
2018-11-03,214852
2018-11-02,260876
2018-11-01,327979
2018-10-31,603325
2018-10-30,593124
2018-10-29,265628
2018-10-28,263658
2018-10-27,295166
2018-10-26,779435
2018-10-25,291940
2018-10-24,217999
2018-10-23,239493
2018-10-22,280618
2018-10-21,278772
2018-10-20,318635
2018-10-19,880286
2018-10-18,263211
2018-10-17,300470
2018-10-16,232320
2018-10-15,264881
2018-10-14,271748
2018-10-13,301609
2018-10-12,703347
2018-10-11,501502
2018-10-10,202546
2018-10-09,217215
2018-10-08,221746
2018-10-07,210311
2018-10-06,206318
2018-10-05,267456
2018-10-04,292086
2018-10-03,250268
2018-10-02,272129
2018-10-01,318586
2018-09-30,330114
2018-09-29,391748
2018-09-28,878010
